no,IP address,CVE ID,vulnerability title,vulnerability description,cvss score,cvss severity,solution,reference
63,172.16.41.245,CVE-2024-26888,Bluetooth: msft: Fix memory leak,"In the Linux kernel, the following vulnerability has been resolved:

Bluetooth: msft: Fix memory leak

Fix leaking buffer allocated to send MSFT_OP_LE_MONITOR_ADVERTISEMENT.",N/A,N/A,Update to latest version,https://git.kernel.org/stable/c/98e9920c75e0790bff947a00d192d24bf1c724e0
64,10.10.10.76,CVE-2021-27558,CVE-2021-27558,A cross site scripting (XSS) issue in EasyCorp ZenTao 12.5.3 allows remote attackers to execute arbitrary web script via various areas such as data-link-creator.,N/A,N/A,Update to latest version,https://privasec.com/blog/zentao-cms-a-monkeys-journey-to-priv-esc-remote-code-execution/
65,10.10.10.38,CVE-2008-4580,CVE-2008-4580,"fence_manual, as used in fence 2.02.00-r1 and possibly cman, allows local users to modify arbitrary files via a symlink attack on the fence_manual.fifo temporary file.",N/A,N/A,Update to latest version,http://www.openwall.com/lists/oss-security/2008/10/16/1
66,10.20.10.212,CVE-2022-1469,FiboSearch < 1.18.0 - Admin+ Stored Cross-Site Scripting,"The FiboSearch WordPress plugin before 1.17.0 does not sanitise and escape some of its settings, which could allow high privilege users such as admin to perform Stored Cross-Site Scripting attacks ...",N/A,N/A,Update to latest version,https://wpscan.com/vulnerability/88869380-173d-4d4f-81d8-3c20add5f98d
67,10.20.10.217,CVE-2024-8660,"Stored XSS in the ""Top Navigator Bar"" block","Concrete CMS versions 9.0.0 through 9.3.3 are affected by a
stored XSS vulnerability in the ""Top Navigator Bar"" block.
Since the ""Top Navigator Bar"" output was not sufficiently sanitized, a rogue a...",N/A,N/A,Update to latest version,https://documentation.concretecms.org/9-x/developers/introduction/version-history/934-release-notes
68,10.10.10.131,CVE-2023-32646,CVE-2023-32646,Uncontrolled search path element in some Intel(R) VROC software before version 8.0.8.1001 may allow an authenticated user to potentially enable escalation of privilege via local access.,6.7,MEDIUM,Update to latest version,https://www.intel.com/content/www/us/en/security-center/advisory/intel-sa-00953.html
69,10.20.10.86,CVE-2025-38746,CVE-2025-38746,"Dell SupportAssist OS Recovery, versions prior to 5.5.14.0, contains an Exposure of Sensitive Information to an Unauthorized Actor vulnerability. An unauthenticated attacker with physical access co...",3.5,LOW,Update to latest version,https://www.dell.com/support/kbdoc/en-us/000353093/dsa-2025-315
70,10.20.10.163,CVE-2023-21356,CVE-2023-21356,"In Bluetooth, there is a possible out of bounds write due to a missing bounds check. This could lead to remote (proximal/adjacent) code execution with no additional execution privileges needed. Use...",N/A,N/A,Update to latest version,https://source.android.com/docs/security/bulletin/android-14
71,10.20.10.27,CVE-2024-32102,WordPress Crony Cronjob Manager plugin <= 0.5.0 - Cross Site Request Forgery (CSRF) vulnerability,"Cross-Site Request Forgery (CSRF) vulnerability in Scott Kingsley Clark Crony Cronjob Manager.This issue affects Crony Cronjob Manager: from n/a through 0.5.0.

",4.3,MEDIUM,Update to latest version,https://patchstack.com/database/vulnerability/crony/wordpress-crony-cronjob-manager-plugin-0-5-0-cross-site-request-forgery-csrf-vulnerability?_s_id=cve
72,172.16.41.234,CVE-2016-1686,CVE-2016-1686,"The CPDF_DIBSource::CreateDecoder function in core/fpdfapi/fpdf_render/fpdf_render_loadimage.cpp in PDFium, as used in Google Chrome before 51.0.2704.63, mishandles decoder-initialization failure, ...",N/A,N/A,Update to latest version,http://www.securityfocus.com/bid/90876
73,10.20.10.42,CVE-2017-15214,CVE-2017-15214,Stored XSS vulnerability in Flyspray 1.0-rc4 before 1.0-rc6 allows an authenticated user to inject JavaScript to gain administrator privileges and also to execute JavaScript against other users (in...,N/A,N/A,Update to latest version,https://github.com/Flyspray/flyspray/releases/tag/v1.0-rc6
74,172.16.41.126,CVE-2013-6444,CVE-2013-6444,"PyWBEM 0.7 and earlier does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-mid...",N/A,N/A,Update to latest version,https://bugzilla.redhat.com/show_bug.cgi?id=1044246
75,10.10.10.105,CVE-2012-1891,CVE-2012-1891,Heap-based buffer overflow in Microsoft Data Access Components (MDAC) 2.8 SP1 and SP2 and Windows Data Access Components (WDAC) 6.0 allows remote attackers to execute arbitrary code via crafted XML...,N/A,N/A,Update to latest version,http://www.us-cert.gov/cas/techalerts/TA12-192A.html
76,10.10.10.53,CVE-2013-6237,CVE-2013-6237,The ISL Desktop plugin for Windows before 1.4.7 for ISL Light 3.5.4 and earlier allows remote authenticated users to obtain sensitive information by pasting the clipboard contents that have been co...,N/A,N/A,Update to latest version,http://packetstormsecurity.com/files/124274/ISL-Light-Desktop-3.5.4-Information-Disclosure.html
77,10.20.10.248,CVE-2023-51309,CVE-2023-51309,"A lack of rate limiting in the 'Email Settings' feature of PHPJabbers Car Park Booking System v3.0 allows attackers to send an excessive amount of email for a legitimate user, leading to a possible...",N/A,N/A,Update to latest version,https://www.phpjabbers.com/car-park-booking/#sectionDemo
78,10.20.10.186,CVE-2009-0192,CVE-2009-0192,"Off-by-one error in the iMonitor component in Novell eDirectory 8.8 SP3, 8.8 SP3 FTF3, and possibly other versions allows remote attackers to execute arbitrary code via an HTTP request with a craft...",N/A,N/A,Update to latest version,http://secunia.com/advisories/34160
79,10.20.10.1,CVE-2019-13161,CVE-2019-13161,"An issue was discovered in Asterisk Open Source through 13.27.0, 14.x and 15.x through 15.7.2, and 16.x through 16.4.0, and Certified Asterisk through 13.21-cert3. A pointer dereference in chan_sip...",N/A,N/A,Update to latest version,http://downloads.digium.com/pub/security/AST-2019-003.html
80,10.20.10.19,CVE-2022-21539,CVE-2022-21539,Vulnerability in the MySQL Server product of Oracle MySQL (component: InnoDB). Supported versions that are affected are 8.0.29 and prior. Difficult to exploit vulnerability allows low privileged at...,5,MEDIUM,Update to latest version,https://www.oracle.com/security-alerts/cpujul2022.html
81,10.10.10.213,CVE-2020-26359,CVE-2020-26359,N/A,N/A,N/A,Update to latest version,
82,172.16.41.229,CVE-2025-26675,Windows Subsystem for Linux Elevation of Privilege Vulnerability,Out-of-bounds read in Windows Subsystem for Linux allows an authorized attacker to elevate privileges locally.,7.8,HIGH,Update to latest version,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2025-26675
83,10.20.10.55,CVE-2023-31844,CVE-2023-31844,Sourcecodester Faculty Evaluation System v1.0 is vulnerable to SQL Injection via /eval/admin/manage_subject.php?id=.,N/A,N/A,Update to latest version,https://github.com/acmglz/bug_report/blob/main/vendors/oretnom23/faculty-evaluation-system/SQLi-3.md
84,172.16.41.173,CVE-2006-3990,CVE-2006-3990,"Multiple PHP remote file inclusion vulnerabilities in Paul M. Jones Savant2, possibly when used with the com_mtree component for Mambo and Joomla!, allow remote attackers to execute arbitrary PHP c...",N/A,N/A,Update to latest version,http://www.osvdb.org/28692
85,10.10.10.110,CVE-2024-52286,Self Cross Site Scripting (XSS) In Merge Functionality in  Stirling-PDF,Stirling-PDF is a locally hosted web application that allows you to perform various operations on PDF files. In affected versions the Merge functionality takes untrusted user input (file name) and ...,N/A,N/A,Update to latest version,https://github.com/Stirling-Tools/Stirling-PDF/security/advisories/GHSA-9j55-gvf2-cqwv
86,10.10.10.40,CVE-2015-4880,CVE-2015-4880,"Unspecified vulnerability in the Oracle WebCenter Content component in Oracle Fusion Middleware 10.1.3.5.1 allows remote attackers to affect integrity via unknown vectors related to Content Server,...",N/A,N/A,Update to latest version,http://www.oracle.com/technetwork/topics/security/cpuoct2015-2367953.html
